Time,Latitude,Longitude
19/03/2018 10:50,35691245,1397806175
19/03/2018 10:34,356911378,1397792001
19/03/2018 10:31,356908013,1397784907
19/03/2018 10:29,356910946,1397790108
19/03/2018 10:26,356799902,1397777432
19/03/2018 10:20,357055084,1397463697
19/03/2018 10:13,356987781,1397077065
19/03/2018 10:11,356798226,139713121
19/03/2018 10:06,357069343,1397957049
19/03/2018 09:59,356676845,1397247764
19/03/2018 09:53,356702426,1397054196
19/03/2018 09:48,356687547,1397053317
19/03/2018 09:46,356692775,1397060484
19/03/2018 09:44,356698081,139706697
19/03/2018 09:41,356704346,1397063858
19/03/2018 09:26,356712865,1397047713
19/03/2018 09:23,356714686,1397036926
19/03/2018 09:19,356714825,1397036288
19/03/2018 09:17,356699393,1397022416
19/03/2018 09:12,356697579,1397026912
19/03/2018 09:09,35670111,1397021075
19/03/2018 08:58,356699265,1397021297
19/03/2018 08:53,356700389,1397020394
19/03/2018 08:49,356727161,1397018617
19/03/2018 08:40,356733255,1397020256
19/03/2018 08:35,356732476,1397020929
19/03/2018 08:33,356751828,1396996566
19/03/2018 08:28,356742072,1396995979
19/03/2018 08:09,35675371,1396994676
19/03/2018 08:05,356747632,1396994977
19/03/2018 08:01,356740375,1397005036
19/03/2018 07:53,356712222,139702796
19/03/2018 07:51,356714887,1397015431
19/03/2018 07:47,356700033,1397019348
19/03/2018 07:44,356708815,1397028388
19/03/2018 07:41,356715506,139703292
19/03/2018 07:37,35671408,139706682
19/03/2018 07:31,356712485,1397057901
19/03/2018 07:28,356710695,1397064647
19/03/2018 07:25,356717038,1397077643
19/03/2018 07:22,35671658,139707798
19/03/2018 07:20,356689574,1397076072
19/03/2018 07:17,356691446,1397059287
19/03/2018 07:13,356681254,13970701
19/03/2018 06:54,356689069,1397078051
19/03/2018 06:44,35668301,1397072638
19/03/2018 06:31,356696503,1397082164
19/03/2018 05:25,356686088,1397057472
19/03/2018 05:15,356690241,1397078285
19/03/2018 05:10,356690656,1397078598
19/03/2018 05:07,356699394,1397083689
19/03/2018 05:04,356689394,1397078259
19/03/2018 05:01,356682904,1397077067
19/03/2018 04:54,356659029,1397050775
19/03/2018 04:51,356663736,1397058919
19/03/2018 04:49,356656392,139704718
19/03/2018 04:46,356635094,1397018409
19/03/2018 04:43,356640661,139702601
19/03/2018 04:39,356634885,1397017967
19/03/2018 04:36,356632656,139701146
19/03/2018 04:31,356599067,1396999566
19/03/2018 04:27,356605701,1397007922
19/03/2018 04:24,356597751,1397001741
19/03/2018 04:15,356595621,1396995767
19/03/2018 04:13,356597278,1396996465
19/03/2018 04:07,356588917,1397023389
19/03/2018 04:06,356594437,1396998017
19/03/2018 04:03,356593008,1397013006
19/03/2018 03:58,356590981,1397025208
19/03/2018 03:38,356584695,1397024963
19/03/2018 03:20,356589248,1397028727
19/03/2018 03:17,356588377,1397026684
19/03/2018 03:12,356710128,1397221857
19/03/2018 03:06,356538735,1397375503
19/03/2018 02:47,356710284,1397699071
19/03/2018 02:43,356907987,139778539
19/03/2018 02:37,356908021,1397784909
19/03/2018 02:31,356911736,1397806128
18/03/2018 14:36,356912094,1397806065
18/03/2018 14:31,356909536,1397792046
18/03/2018 14:25,35697781,1397742182
18/03/2018 14:21,356987535,139773887
18/03/2018 14:18,35697979,1397740818
18/03/2018 13:57,356983116,139774943
18/03/2018 13:53,356983142,1397749301
18/03/2018 13:39,356983445,1397748005
18/03/2018 13:26,356983092,1397749559
18/03/2018 13:24,356976704,1397741438
18/03/2018 13:20,356977272,1397741098
18/03/2018 13:18,356983097,1397749476
18/03/2018 12:56,356983108,1397749436
18/03/2018 12:53,356983321,1397748472
18/03/2018 12:36,356983154,1397749031
18/03/2018 12:26,356983115,1397749453
